dateUploaded,description,geo_status,hashtags,imgId,positionInStatus,searchTermUsed,url,user_id,user_name
Wed Jun 20 00:23:57 +0000 2018,RT @slushysoup: ยองแจตอนคำรามในเพลง lion boy  https://t.co/7nBtd6VZoa,,[],1006884209632268290,1,Lion,http://pbs.twimg.com/ext_tw_video_thumb/1006884209632268290/pu/img/twesjTjoFkrmpBRN.jpg,603437582,ลูกหมูของยองแจ
Wed Jun 20 00:23:23 +0000 2018,RT @slushysoup: ยองแจตอนคำรามในเพลง lion boy  https://t.co/7nBtd6VZoa,,[],1006884209632268290,1,Lion,http://pbs.twimg.com/ext_tw_video_thumb/1006884209632268290/pu/img/twesjTjoFkrmpBRN.jpg,1550489354,MILDMYBABYBIRD
Wed Jun 20 00:23:12 +0000 2018,"RT @chens210: 타카가키 카에데 감미로운 공주님
Lion&amp;cats 샵 s입니다
가격은 4.5
구성은 가발/모자/장식/의상및 장갑일체/다리끈이에요
많은 문의 부탁드립니다 https://t.co/DvVEYg2bAe",,[],1009144681173696512,1,Lion,http://pbs.twimg.com/media/DgEzvahVQAANywk.jpg,419561541,워랴워랴랴랴
Wed Jun 20 00:23:12 +0000 2018,"RT @chens210: 타카가키 카에데 감미로운 공주님
Lion&amp;cats 샵 s입니다
가격은 4.5
구성은 가발/모자/장식/의상및 장갑일체/다리끈이에요
많은 문의 부탁드립니다 https://t.co/DvVEYg2bAe",,[],1009144688471732224,2,Lion,http://pbs.twimg.com/media/DgEzv1tUcAAsfRx.jpg,419561541,워랴워랴랴랴
Wed Jun 20 00:22:54 +0000 2018,"@momotaro_lion #アクエリアスを渡す！

アクエリでしっかり水分補給できた！
「封印されしエクゾディア」を召喚！

水より、アクエリ。
水とミネラルを同時に失う
動くカラダの水分補給。
https://t.co/eyBgbbcFUy",,[{u'tag': u'アクエリアスを渡す'}],995182791447883776,1,Lion,http://pbs.twimg.com/amplify_video_thumb/995182791447883776/img/Q4qhSSbdSgkdb4tb.jpg,104120518,アクエリアス
Wed Jun 20 00:22:24 +0000 2018,"RT @PSUBarstool: 11... @LaVarArrington 

Still the most intimidating Nittany Lion ever https://t.co/bO00KScbjn",,[],1008085557564592128,1,Lion,http://pbs.twimg.com/ext_tw_video_thumb/1008085557564592128/pu/img/x8J60pBex22n2X9u.jpg,803835393993015296,Alberto
Tue Jun 19 10:59:47 +0000 2018,RT @Itslovelynature: Rare Rothschild's Giraffe Mommy with her Baby &lt;3 Please send them some love !!! &lt;3 https://t.co/orqTgxpPN6,,[],980014404933582848,1,Rothschild Giraffe,http://pbs.twimg.com/media/DZm16LDVAAAAE2H.jpg,918096933838733312,🙏REINGS RAO SINDHE
Mon Jun 18 21:37:46 +0000 2018,"Rothschild's Giraffe in the Rift Valley, Kenya https://t.co/OH6J1PvYpk",,[],1008825992994017281,1,Rothschild Giraffe,http://pbs.twimg.com/media/DgAR5UiW0AEwlyx.jpg,24527655,Daniel W
Mon Jun 18 21:37:46 +0000 2018,"Rothschild's Giraffe in the Rift Valley, Kenya https://t.co/OH6J1PvYpk",,[],1008826102477934594,2,Rothschild Giraffe,http://pbs.twimg.com/media/DgAR_sZW0AIjq8u.jpg,24527655,Daniel W
Tue Jun 19 03:07:54 +0000 2018,Plains Zebra (Equus burchellii) – Philadelphia Picture https://t.co/pMNRXqybiF https://t.co/gDxHiBb6DN,,[],1008909206404001792,1,Plains Zebra,http://pbs.twimg.com/media/DgBdk-pU8AADVjy.jpg,190681621,Philly Informer
Sun Jun 17 22:24:38 +0000 2018,"RT @JUNKTAST1C: Thompson's Gazelle, Coyote, Plains Zebra, Bactrian Camel! https://t.co/nEx1sQQCa0",,[],1008471111263121408,1,Plains Zebra,http://pbs.twimg.com/media/Df7PIfEU8AAB5xE.jpg,550717503,"The #1 Best, Most Arrogant Veran Fan"
Sun Jun 17 22:24:38 +0000 2018,"RT @JUNKTAST1C: Thompson's Gazelle, Coyote, Plains Zebra, Bactrian Camel! https://t.co/nEx1sQQCa0",,[],1008471117227438080,2,Plains Zebra,http://pbs.twimg.com/media/Df7PI1SVMAAmtgq.jpg,550717503,"The #1 Best, Most Arrogant Veran Fan"
Sun Jun 17 22:24:38 +0000 2018,"RT @JUNKTAST1C: Thompson's Gazelle, Coyote, Plains Zebra, Bactrian Camel! https://t.co/nEx1sQQCa0",,[],1008471122231193601,3,Plains Zebra,http://pbs.twimg.com/media/Df7PJH7UcAEbSi6.jpg,550717503,"The #1 Best, Most Arrogant Veran Fan"
Sun Jun 17 22:24:38 +0000 2018,"RT @JUNKTAST1C: Thompson's Gazelle, Coyote, Plains Zebra, Bactrian Camel! https://t.co/nEx1sQQCa0",,[],1008471127440539648,4,Plains Zebra,http://pbs.twimg.com/media/Df7PJbVUwAAC603.jpg,550717503,"The #1 Best, Most Arrogant Veran Fan"
Sun Jun 17 22:07:09 +0000 2018,"Thompson's Gazelle, Coyote, Plains Zebra, Bactrian Camel! https://t.co/nEx1sQQCa0",,[],1008471111263121408,1,Plains Zebra,http://pbs.twimg.com/media/Df7PIfEU8AAB5xE.jpg,484604990,🎄JUNK🎄
Sun Jun 17 22:07:09 +0000 2018,"Thompson's Gazelle, Coyote, Plains Zebra, Bactrian Camel! https://t.co/nEx1sQQCa0",,[],1008471117227438080,2,Plains Zebra,http://pbs.twimg.com/media/Df7PI1SVMAAmtgq.jpg,484604990,🎄JUNK🎄
Sun Jun 17 22:07:09 +0000 2018,"Thompson's Gazelle, Coyote, Plains Zebra, Bactrian Camel! https://t.co/nEx1sQQCa0",,[],1008471122231193601,3,Plains Zebra,http://pbs.twimg.com/media/Df7PJH7UcAEbSi6.jpg,484604990,🎄JUNK🎄
Sun Jun 17 22:07:09 +0000 2018,"Thompson's Gazelle, Coyote, Plains Zebra, Bactrian Camel! https://t.co/nEx1sQQCa0",,[],1008471127440539648,4,Plains Zebra,http://pbs.twimg.com/media/Df7PJbVUwAAC603.jpg,484604990,🎄JUNK🎄
Sun Jun 17 06:12:24 +0000 2018,The Brain of a Plains zebra https://t.co/ECXKCjC0r2 #braincatalogue https://t.co/Ynv1cEQvuC,,[{u'tag': u'braincatalogue'}],1008230861634965504,1,Plains Zebra,http://pbs.twimg.com/media/Df30oHdWkAAgHyA.jpg,728514164717723648,Brain Catalogue
Tue Jun 12 17:53:39 +0000 2018,"Team pig in the plains exhibit looking at zebra and kudu.
#Teampig #JrBVC @pucvm https://t.co/x3F0FtqDxZ",,"[{u'tag': u'Teampig'}, {u'tag': u'JrBVC'}]",1006595382267133952,1,Plains Zebra,http://pbs.twimg.com/media/DfglKsCUwAARlb2.jpg,153240472,Boiler Vet Camp
Tue Jun 19 17:07:51 +0000 2018,RT @Faithfulfactz: Rare elephant strawberry RT for good luck ignore for 11 years bad luck https://t.co/ZKdHuguXy6,,[],1007662291100229632,1,Savannah Elephant,http://pbs.twimg.com/media/Dfvvg9KV4AAJNwy.jpg,3028995609,savannah shea 🌹
Tue Jun 19 17:07:51 +0000 2018,RT @Faithfulfactz: Rare elephant strawberry RT for good luck ignore for 11 years bad luck https://t.co/ZKdHuguXy6,,[],1007662291112714240,2,Savannah Elephant,http://pbs.twimg.com/media/Dfvvg9NUYAAc-XN.jpg,3028995609,savannah shea 🌹
Tue Jun 19 17:07:51 +0000 2018,RT @Faithfulfactz: Rare elephant strawberry RT for good luck ignore for 11 years bad luck https://t.co/ZKdHuguXy6,,[],1007662291108573184,3,Savannah Elephant,http://pbs.twimg.com/media/Dfvvg9MVMAAVzLv.jpg,3028995609,savannah shea 🌹
Mon Jun 18 19:52:58 +0000 2018,RT @LandrySutton: Rare elephant strawberry RT for good luck ignore for 11 years bad luck https://t.co/MvLx68IDKF,,[],1007662291100229632,1,Savannah Elephant,http://pbs.twimg.com/media/Dfvvg9KV4AAJNwy.jpg,342417642,Savannah
Mon Jun 18 19:52:58 +0000 2018,RT @LandrySutton: Rare elephant strawberry RT for good luck ignore for 11 years bad luck https://t.co/MvLx68IDKF,,[],1007662291112714240,2,Savannah Elephant,http://pbs.twimg.com/media/Dfvvg9NUYAAc-XN.jpg,342417642,Savannah
Mon Jun 18 19:52:58 +0000 2018,RT @LandrySutton: Rare elephant strawberry RT for good luck ignore for 11 years bad luck https://t.co/MvLx68IDKF,,[],1007662291108573184,3,Savannah Elephant,http://pbs.twimg.com/media/Dfvvg9MVMAAVzLv.jpg,342417642,Savannah
Mon Jun 18 19:51:24 +0000 2018,RT @LandrySutton: Rare elephant strawberry RT for good luck ignore for 11 years bad luck https://t.co/MvLx68IDKF,,[],1007662291100229632,1,Savannah Elephant,http://pbs.twimg.com/media/Dfvvg9KV4AAJNwy.jpg,3178257143,Savannah 🦋
Mon Jun 18 19:51:24 +0000 2018,RT @LandrySutton: Rare elephant strawberry RT for good luck ignore for 11 years bad luck https://t.co/MvLx68IDKF,,[],1007662291112714240,2,Savannah Elephant,http://pbs.twimg.com/media/Dfvvg9NUYAAc-XN.jpg,3178257143,Savannah 🦋
Mon Jun 18 19:51:24 +0000 2018,RT @LandrySutton: Rare elephant strawberry RT for good luck ignore for 11 years bad luck https://t.co/MvLx68IDKF,,[],1007662291108573184,3,Savannah Elephant,http://pbs.twimg.com/media/Dfvvg9MVMAAVzLv.jpg,3178257143,Savannah 🦋
Mon Jun 18 01:40:56 +0000 2018,RT @LandrySutton: Rare elephant strawberry RT for good luck ignore for 11 years bad luck https://t.co/MvLx68IDKF,,[],1007662291100229632,1,Savannah Elephant,http://pbs.twimg.com/media/Dfvvg9KV4AAJNwy.jpg,2809652431,Savannah Kjolhede
Mon Jun 18 01:40:56 +0000 2018,RT @LandrySutton: Rare elephant strawberry RT for good luck ignore for 11 years bad luck https://t.co/MvLx68IDKF,,[],1007662291112714240,2,Savannah Elephant,http://pbs.twimg.com/media/Dfvvg9NUYAAc-XN.jpg,2809652431,Savannah Kjolhede
Mon Jun 18 01:40:56 +0000 2018,RT @LandrySutton: Rare elephant strawberry RT for good luck ignore for 11 years bad luck https://t.co/MvLx68IDKF,,[],1007662291108573184,3,Savannah Elephant,http://pbs.twimg.com/media/Dfvvg9MVMAAVzLv.jpg,2809652431,Savannah Kjolhede
